Posizionamento_Disciplina,Squadra,Punti,anno,disciplina,PtTotaliOlimpiade,Posizionamento_Olimpiade
9,RIGOLETTO,14,2025,Biglie,271,85
10,EZIO,13,2025,Biglie,394,9
11,DON CARLOS,12,2025,Biglie,337,31
12,ZAMORO,11,2025,Biglie,387,12
13,CASSIO,10,2025,Biglie,392,11
14,CONTE DI VAUDEMONT,10,2025,Biglie,416,6
15,FILIPPO II,10,2025,Biglie,326,36
16,PAGANO,10,2025,Biglie,392,10
17,LEONORA,10,2025,Biglie,297,63
18,ZACCARIA,10,2025,Biglie,384,14
19,STIFFELIO,10,2025,Biglie,307,49
20,VIOLETTA,10,2025,Biglie,345,26
21,MACBETH,9,2025,Biglie,361,17
22,ALFREDO,9,2025,Biglie,470,2
23,IAGO,9,2025,Biglie,479,1
24,CONTE DI WALTER,9,2025,Biglie,396,8
25,RAFFAELE,9,2025,Biglie,251,94
26,LINA,9,2025,Biglie,301,56
27,ERNANI,9,2025,Biglie,283,73
28,DUNCANO,9,2025,Biglie,343,28
29,DUCA DI MANTOVA,8,2025,Biglie,307,50
30,GUSMANO,8,2025,Biglie,266,88
31,PREZIOSILLA,8,2025,Biglie,241,101
32,TEBALDO,8,2025,Biglie,320,39
33,OVANDO,8,2025,Biglie,312,47
34,IMELDA,8,2025,Biglie,286,72
35,ISMAELE,8,2025,Biglie,280,76
36,RAMFIS,8,2025,Biglie,403,7
37,ABIGAILLE,7,2025,Biglie,385,13
38,BANCO,7,2025,Biglie,304,51
39,OTELLO,7,2025,Biglie,470,3
40,ATTILA,7,2025,Biglie,268,86
41,PIRRO,7,2025,Biglie,233,103
42,CONTE DI LUNA,7,2025,Biglie,357,21
43,BARBAROSSA,7,2025,Biglie,301,55
44,ATALIBA,7,2025,Biglie,327,35
45,GULNARA,7,2025,Biglie,338,29
46,EGBERTO,7,2025,Biglie,293,67
47,ROLLA,7,2025,Biglie,265,90
48,GUY DE MONTFORT,7,2025,Biglie,350,24
49,AROLDO,7,2025,Biglie,320,41
50,AMONASRO,7,2025,Biglie,297,64
51,FEDERICA,7,2025,Biglie,296,65
52,ELISABETTA DI VALOIS,7,2025,Biglie,287,71
53,BRIANO,7,2025,Biglie,224,106
54,DESDEMONA,7,2025,Biglie,343,27
55,ARMINIO,7,2025,Biglie,225,105
56,DON ALVARO,7,2025,Biglie,240,102
57,ELVIRA,7,2025,Biglie,279,77
58,AZUCENA,7,2025,Biglie,337,30
59,ALICE,7,2025,Biglie,332,32
60,ELENA,7,2025,Biglie,382,15
61,FALSTAFF,7,2025,Biglie,320,40
62,GISELDA,7,2025,Biglie,358,19
63,BORSA,7,2025,Biglie,302,53
64,LIDA,7,2025,Biglie,277,78
65,ARRIGO,7,2025,Biglie,293,66
66,CALATRAVA,7,2025,Biglie,259,92
67,NINETTA,7,2025,Biglie,213,107
68,GODVINO,7,2025,Biglie,275,82
69,MANRICO,7,2025,Biglie,256,93
70,ULRICA,7,2025,Biglie,326,37
71,GILDA,7,2025,Biglie,315,45
72,SELIMO,7,2025,Biglie,323,38
73,FRA MELITONE,6,2025,Biglie,144,108
74,MACDUFF,6,2025,Biglie,355,23
75,MEDORA,6,2025,Biglie,288,70
76,BARDOLFO,6,2025,Biglie,248,97
77,NABUCODONOSOR,6,2025,Biglie,328,34
78,FERRANDO,6,2025,Biglie,267,87
79,STANKAR,6,2025,Biglie,282,74
80,FENTON,6,2025,Biglie,266,89
81,MASSIMILIANO,6,2025,Biglie,247,98
82,RE CARLO,6,2025,Biglie,244,99
83,DOROTEA,6,2025,Biglie,301,54
84,FLORA,6,2025,Biglie,299,61
85,AMNERIS,6,2025,Biglie,300,58
86,RUY GOMEZ,6,2025,Biglie,261,91
87,GASTONE,6,2025,Biglie,355,22
88,ALZIRA,6,2025,Biglie,300,57
89,RODOLFO,6,2025,Biglie,317,44
90,MOSER,6,2025,Biglie,230,104
91,RENATO,6,2025,Biglie,271,84
92,OSCAR,6,2025,Biglie,275,81
93,FORESTO,6,2025,Biglie,302,52
94,EMILIA,6,2025,Biglie,277,80
95,FORD,6,2025,Biglie,317,43
96,RODRIGO,6,2025,Biglie,291,68
97,DON RICCARDO,6,2025,Biglie,300,59
98,ULDINO,6,2025,Biglie,248,96
99,WURM,6,2025,Biglie,298,62
100,ABDALLO,6,2025,Biglie,281,75
101,ROLANDO,6,2025,Biglie,300,60
102,LUISA MILLER,6,2025,Biglie,277,79
103,ODABELLA,6,2025,Biglie,273,83
104,SEID,6,2025,Biglie,244,100
105,VICLINDA,6,2025,Biglie,251,95
106,RADAMÈS,6,2025,Biglie,291,69
107,AIDA,6,2025,Biglie,308,48
108,CONTE RICCARDO,6,2025,Biglie,329,33
1,ARVINO,30,2025,Bocce,438,5
2,MARCOVALDO,25,2025,Bocce,451,4
3,CONTE DI VAUDEMONT,21,2025,Bocce,416,6
4,DESDEMONA,18,2025,Bocce,343,27
5,ABIGAILLE,16,2025,Bocce,385,13
6,CASSIO,16,2025,Bocce,392,11
7,ZAMORO,16,2025,Bocce,387,12
8,AMELIA,16,2025,Bocce,318,42
9,OTELLO,14,2025,Bocce,470,3
10,MASSIMILIANO,14,2025,Bocce,247,98
11,CONTE DI WALTER,14,2025,Bocce,396,8
12,RODOLFO,14,2025,Bocce,317,44
13,FALSTAFF,14,2025,Bocce,320,40
14,RODRIGO,14,2025,Bocce,291,68
15,ARRIGO,14,2025,Bocce,293,66
16,ODABELLA,14,2025,Bocce,273,83
17,MACBETH,12,2025,Bocce,361,17
18,EZIO,12,2025,Bocce,394,9
19,NABUCODONOSOR,12,2025,Bocce,328,34
20,FERRANDO,12,2025,Bocce,267,87
21,DUCA DI MANTOVA,12,2025,Bocce,307,50
22,AMONASRO,12,2025,Bocce,297,64
23,TEBALDO,12,2025,Bocce,320,39
24,OVANDO,12,2025,Bocce,312,47
25,PAGANO,12,2025,Bocce,392,10
26,DON ALVARO,12,2025,Bocce,240,102
27,EMILIA,12,2025,Bocce,277,80
28,DON RICCARDO,12,2025,Bocce,300,59
29,BORSA,12,2025,Bocce,302,53
30,STIFFELIO,12,2025,Bocce,307,49
31,VIOLETTA,12,2025,Bocce,345,26
32,DUNCANO,12,2025,Bocce,343,28
33,BANCO,10,2025,Bocce,304,51
34,STANKAR,10,2025,Bocce,282,74
35,BARBAROSSA,10,2025,Bocce,301,55
36,ALFREDO,10,2025,Bocce,470,2
37,IAGO,10,2025,Bocce,479,1
38,MALCOLM,10,2025,Bocce,360,18
39,FILIPPO II,10,2025,Bocce,326,36
40,RAFFAELE,10,2025,Bocce,251,94
41,IMELDA,10,2025,Bocce,286,72
42,BRIANO,10,2025,Bocce,224,106
43,CORRADO,10,2025,Bocce,358,20
44,AZUCENA,10,2025,Bocce,337,30
45,ALICE,10,2025,Bocce,332,32
46,GERMONT,10,2025,Bocce,312,46
47,MINA,10,2025,Bocce,349,25
48,GISELDA,10,2025,Bocce,358,19
49,CALATRAVA,10,2025,Bocce,259,92
50,ROLANDO,10,2025,Bocce,300,60
51,SEID,10,2025,Bocce,244,100
52,MANRICO,10,2025,Bocce,256,93
53,ULRICA,10,2025,Bocce,326,37
54,GILDA,10,2025,Bocce,315,45
55,MACDUFF,8,2025,Bocce,355,23
56,MEDORA,8,2025,Bocce,288,70
57,BARDOLFO,8,2025,Bocce,248,97
58,ATTILA,8,2025,Bocce,268,86
59,RE CARLO,8,2025,Bocce,244,99
60,EGBERTO,8,2025,Bocce,293,67
61,GUSMANO,8,2025,Bocce,266,88
